navtypeid,nav_type,category,dropnavid,droptitle,drop_order
2,dropdown,2,1,The Golf Course,1
2,dropdown,2,2,Score Cards,2
2,dropdown,3,3,Saturday AM,1
2,dropdown,3,4,Saturday PM,2
2,dropdown,3,5,Sunday Stableford,3
2,dropdown,3,6,Wednesday Wackers,4
2,dropdown,3,7,Tuesday Women,5
2,dropdown,3,8,President's Cup 2024,6
2,dropdown,4,9,Fix Pitch Marks,1
2,dropdown,4,10,2024 Shootout Winers,2
2,dropdown,4,11,Ladies Finals 2022,3
2,dropdown,4,12,Photo Gallery,4
2,dropdown,4,13,Lincoln Ladies Team Tournament,5
2,dropdown,4,14,Lincoln Men's Open,6
2,dropdown,4,15,2024 Club Champs,7
2,dropdown,4,16,Pairs Champs 2023,8
2,dropdown,4,17,Watson Trophy,9
2,dropdown,4,18,2023 Ladies Open,10
2,dropdown,5,19,Club Officers/Sub Committees,1
2,dropdown,5,20,"Starter, Marker & Bar Rosters",2
2,dropdown,5,21,Management Committee Minutes,3
2,dropdown,5,22,AGM Minutes,4
